rank,domain,categories
1,qq.com,News & Media
2,microsoft.com,Information Technology;Business
3,baidu.com,Search Engines
4,google.com,Search Engines
5,googleapis.com,Content Servers;Personal Blogs
6,douyincdn.com,Content Servers
7,apple.com,Information Technology;Technology
8,gstatic.com,Content Servers
9,yximgs.com,Content Servers
10,ntp.org,Technology;Government
11,360.cn,Technology
12,bilibili.com,Video Streaming
13,taobao.com,Ecommerce
14,sogou.com,Search Engines
15,tencent-cloud.net,Content Servers
16,douyinliving.com,
17,alicdn.com,Content Servers
18,aliyuncs.com,Content Servers
19,zijieapi.com,Content Servers
20,office.com,Technology
21,gvt2.com,Content Servers
22,amap.com,Education
23,vivo.com.cn,Technology
24,icloud.com,File Sharing;Content Servers
25,douyinvod.com,Content Servers
26,xiaomi.com,Technology
27,pstatp.com,Content Servers
28,live.com,Technology;Webmail
29,facebook.com,Social Networks
30,kwimgs.com,Information Technology
31,163.com,News & Media
32,ixigua.com,Video Streaming
33,meituan.net,Search Engines
34,bing.com,Search Engines
35,qpic.cn,Content Servers
36,xiaohongshu.com,Video Streaming
37,amemv.com,Information Technology
38,qlogo.cn,Content Servers
39,wps.cn,Technology
40,tencent.com,Technology
41,msn.cn,News & Media
42,dbankcloud.cn,Technology
43,miui.com,Technology
44,feishu.cn,Technology
45,jd.com,Ecommerce
46,snssdk.com,Information Technology;News & Media
47,icloud.com.cn,Technology
48,kwaicdn.com,
49,hdslb.com,Content Servers
50,bdstatic.com,Search Engines
51,heytapmobi.com,Technology
52,aliyun.com,Technology
53,qq.com.cn,News & Media;Search Engines
54,meituan.com,Ecommerce;News & Media;Search Engines
55,bilivideo.com,Content Servers
56,googlevideo.com,Search Engines;Video Streaming
57,etoote.com,Arts
58,windowsupdate.com,Information Technology;Business
59,sinaimg.cn,Content Servers
60,video-voip.com,
61,douyinpic.com,Content Servers
62,doubleclick.net,Advertisements
63,amazonaws.com,Technology
64,live-voip.com,
65,akadns.net,Content Servers
66,lencr.org,Information Technology
67,bcebos.com,Content Servers
68,bytedance.com,Business
69,akamai.net,Content Servers
70,cloudflare.com,Technology
71,inkuai.com,Information Technology
72,myqcloud.com,Content Servers
73,msn.com,News & Media
74,hicloud.com,File Sharing
75,youtube.com,Video Streaming
76,dbankcloud.com,Technology
77,mi.com,Information Technology;Technology
78,alipay.com,Economy & Finance
79,xhscdn.com,Content Servers
80,gtimg.com,Content Servers
81,tiktokcdn.com,Content Servers;Social Networks
82,cloudflare-dns.com,Content Servers
83,netease.com,News & Media
84,apple-dns.net,Content Servers
85,azure.com,Technology
86,umeng.com,Technology
87,gtimg.cn,Content Servers
88,github.com,Technology
89,quark.cn,Information Technology
90,akamaiedge.net,Content Servers
91,dianping.com,Search Engines
92,weibo.com,Social Networks
93,googleusercontent.com,Content Servers
94,bdurl.net,Content Servers
95,wpscdn.cn,Content Servers
96,126.net,Technology
97,cloudfront.net,Content Servers;Science;Technology
98,dingtalk.com,Instant Messengers
99,skype.com,Instant Messengers;Internet Phone & VOIP
100,grammarly.com,Artificial Intelligence;Hobbies & Interests
