rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,doubleclick.net,Advertisements
8,googlevideo.com,Search Engines;Video Streaming
9,gvt2.com,Content Servers
10,youtube.com,Video Streaming
11,googlesyndication.com,Search Engines;Advertisements
12,bing.com,Search Engines
13,amazonaws.com,Technology
14,tiktokcdn.com,Content Servers;Social Networks
15,googleusercontent.com,Content Servers
16,live.com,Technology;Webmail
17,akadns.net,Content Servers
18,icloud.com,File Sharing;Content Servers
19,office.com,Technology
20,yahoo.co.jp,News & Media
21,akamaiedge.net,Content Servers
22,apple-dns.net,Content Servers
23,google-analytics.com,Business;Technology
24,akamai.net,Content Servers
25,cloudfront.net,Content Servers;Science;Technology
26,criteo.com,Business
27,msn.com,News & Media
28,twitter.com,Social Networks
29,ytimg.com,Content Servers
30,amazon-adsystem.com,Advertisements
31,cloudflare.com,Technology
32,yimg.jp,Content Servers
33,googleadservices.com,Advertisements
34,tiktokv.com,Social Networks;Video Streaming
35,instagram.com,Social Networks
36,googletagmanager.com,Content Servers
37,cloudflare-dns.com,Content Servers
38,aaplimg.com,Information Technology;Content Servers;Technology
39,rubiconproject.com,Advertisements
40,amazon.com,Ecommerce
41,azure.com,Technology
42,adnxs.com,Content Servers
43,google.co.jp,Search Engines
44,twimg.com,Content Servers
45,spotify.com,Audio Streaming
46,ggpht.com,Content Servers
47,ne.jp,Information Technology
48,office.net,Content Servers
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,akamaized.net,Content Servers
51,fbcdn.net,Social Networks
52,amazon.co.jp,Ecommerce
53,cdn77.org,Content Servers
54,microsoftonline.com,Technology
55,app-measurement.com,APIs
56,pubmatic.com,Business;Technology
57,rakuten.co.jp,Ecommerce
58,im-apps.net,Content Servers
59,clarity.ms,Content Servers
60,line-apps.com,Content Servers
61,pki.goog,Information Security
62,trafficmanager.net,Information Technology;Content Servers
63,yahoo.com,News & Media
64,yahooapis.jp,Content Servers
65,criteo.net,Business
66,slack.com,Instant Messengers
67,lencr.org,Information Technology
68,a2z.com,Content Servers
69,windowsupdate.com,Information Technology;Business
70,gmail.com,Webmail
71,digicert.com,Information Security
72,office365.com,Technology
73,ntp.org,Technology;Government
74,t.co,Redirect;Social Networks
75,windows.com,Information Technology
76,casalemedia.com,Advertisements
77,msftncsi.com,Content Servers
78,netflix.com,Movies;Video Streaming
79,fastly.net,Information Security;Information Technology;Technology
80,taboola.com,Business;Advertisements
81,line-scdn.net,Content Servers
82,unity3d.com,Gaming;Technology
83,gvt1.com,Content Servers
84,facebook.net,Social Networks
85,socdm.com,Content Servers
86,x.com,Social Networks
87,nr-data.net,Content Servers
88,openx.net,Advertisements
89,line.me,Instant Messengers;Internet Phone & VOIP
90,brave.com,Information Technology
91,media-amazon.com,Content Servers
92,qq.com,News & Media
93,applovin.com,Gaming
94,discord.com,Instant Messengers;Internet Phone & VOIP
95,smartadserver.com,Advertisements
96,cdninstagram.com,Content Servers
97,app-analytics-services.com,Content Servers
98,azureedge.net,Content Servers
99,msftconnecttest.com,Content Servers
100,doubleverify.com,Business;Technology
