rank,url,traffic,increase_traffic
1,namu.wiki,43M,+4.0M
2,youtube.com,29M,+1.8M
3,naver.com,18M,+1.0M
4,tistory.com,7.5M,−334K
5,dcinside.com,7.2M,+557K
6,ko.wikipedia.org,5.9M,−851K
7,twitter.com,4.9M,+396K
8,facebook.com,4.4M,+407K
9,instagram.com,4.4M,+167K
10,tiktok.com,3.8M,+994K
11,play.google.com,3.8M,−97K
12,apple.com,3.3M,+245K
13,en.wikipedia.org,3.2M,+72K
14,fmkorea.com,2.6M,+287K
15,inven.co.kr,2.5M,+111K
16,op.gg,2.5M,+30K
17,twitch.tv,2.5M,+36K
18,blacktoon.info,2.1M,+336K
19,microsoft.com,2.1M,+4.3K
20,danawa.com,1.9M,−232K
21,chosun.com,1.9M,+294K
22,amazon.com,1.7M,+105K
23,daum.net,1.6M,+41K
24,newtoki.me,1.6M,+169K
25,support.google.com,1.5M,+36K
26,brunch.co.kr,1.5M,+281K
27,jobkorea.co.kr,1.5M,+55K
28,kakao.com,1.5M,+319K
29,t.me,1.5M,+526K
30,coupang.com,1.4M,+104K
31,google.co.kr,1.4M,+299K
32,????.online,1.4M,
33,ul.com,1.4M,+1.0M
34,pinterest.co.kr,1.4M,+152K
35,nate.com,1.4M,+37K
36,investing.com,1.3M,−151K
37,saramin.co.kr,1.3M,−22K
38,hasha.in,1.3M,+270K
39,roblox.com,1.2M,−260K
40,bunjang.co.kr,1.2M,+97K
41,afreecatv.com,1.2M,+85K
42,openai.com,1.2M,−255K
43,11st.co.kr,1.1M,+25K
44,netflix.com,1.1M,+176K
45,mk.co.kr,1.1M,+239K
46,freepik.com,1.1M,+284K
47,github.com,1.1M,+134K
48,lifestudy.co.kr,1.1M,−472K
49,adobe.com,1.0M,+8.8K
50,linkedin.com,1.0M,−2.2K
51,gmarket.co.kr,1.0M,+1.1K
52,ruliweb.com,1.0M,+128K
53,donga.com,999K,+96K
54,ssg.com,980K,+113K
55,nexon.com,976K,+63K
56,pinterest.com,937K,+184K
57,canva.com,901K,+72K
58,cambridge.org,881K,+97K
59,hankyung.com,865K,+128K
60,???.org,858K,
61,pusan.ac.kr,841K,+37K
62,tgd.kr,831K,+40K
63,kbstar.com,822K,−3.9K
64,kyobobook.co.kr,817K,+18K
65,weather.go.kr,817K,−36K
66,mt.co.kr,805K,−12K
67,aliexpress.com,779K,+15K
68,wiktionary.org,745K,+78K
69,solo.to,737K,+736K
70,hani.co.kr,709K,+58K
71,lotteon.com,683K,+67K
72,yes24.com,675K,+41K
73,hasha.me,675K,+75K
74,upbit.com,671K,−20K
75,dogdrip.net,648K,+15K
76,pixiv.net,634K,+25K
77,arca.live,621K,+69K
78,joongang.co.kr,620K,+139K
79,bluelivetv.net,609K,+68K
80,steampowered.com,601K,+44K
81,?????.com,599K,+499K
82,bugs.co.kr,593K,+146K
83,theqoo.net,591K,+73K
84,samsung.com,559K,+25K
85,yna.co.kr,559K,−92K
86,chrome.google.com,543K,+53K
87,livescore.co.kr,535K,−53K
88,blacktv01.com,535K,+15K
89,discord.com,525K,−1.8K
90,flashscore.co.kr,523K,+95K
91,velog.io,513K,+51K
92,wordrow.kr,512K,−133K
93,amazon.co.uk,510K,+422K
94,kbs.co.kr,508K,+143K
95,disneyplus.com,505K,−13K
96,jobplanet.co.kr,489K,+5.6K
97,notion.so,489K,+7.9K
98,???.site,486K,−9.2K
99,footystats.org,485K,+30K
100,clien.net,476K,+14K
