rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,naver.com,News & Media
6,facebook.com,Social Networks
7,apple.com,Information Technology;Technology
8,pstatic.net,News & Media
9,googlevideo.com,Search Engines;Video Streaming
10,youtube.com,Video Streaming
11,doubleclick.net,Advertisements
12,gvt2.com,Content Servers
13,kakao.com,Instant Messengers
14,googlesyndication.com,Search Engines;Advertisements
15,akadns.net,Content Servers
16,amazonaws.com,Technology
17,cloudflare.com,Technology
18,daum.net,News & Media;Video Streaming
19,bing.com,Search Engines
20,icloud.com,File Sharing;Content Servers
21,daumcdn.net,Search Engines
22,apple-dns.net,Content Servers
23,cloudflare-dns.com,Content Servers
24,ahnlab.com,Content Servers
25,googleusercontent.com,Content Servers
26,instagram.com,Social Networks
27,google-analytics.com,Business;Technology
28,tiktokcdn.com,Content Servers;Social Networks
29,akamaiedge.net,Content Servers
30,msn.com,News & Media
31,criteo.com,Business
32,ytimg.com,Content Servers
33,google.co.kr,Search Engines
34,live.com,Technology;Webmail
35,akamai.net,Content Servers
36,googleadservices.com,Advertisements
37,googletagmanager.com,Content Servers
38,office.com,Technology
39,kakaocdn.net,Content Servers
40,ggpht.com,Content Servers
41,coupangcdn.com,Content Servers
42,skype.com,Instant Messengers;Internet Phone & VOIP
43,tiktokv.com,Social Networks;Video Streaming
44,cloudfront.net,Content Servers;Science;Technology
45,aaplimg.com,Information Technology;Content Servers;Technology
46,windowsupdate.com,Information Technology;Business
47,fbcdn.net,Social Networks
48,adnxs.com,Content Servers
49,nexon.com,Gaming
50,sentry.io,Business
51,ntp.org,Technology;Government
52,app-measurement.com,APIs
53,kgslb.com,Content Servers
54,amazon-adsystem.com,Advertisements
55,twitter.com,Social Networks
56,criteo.net,Business
57,msftncsi.com,Content Servers
58,pki.goog,Information Security
59,pubmatic.com,Business;Technology
60,yahoo.com,News & Media
61,cdninstagram.com,Content Servers
62,lencr.org,Information Technology
63,rubiconproject.com,Advertisements
64,taboola.com,Business;Advertisements
65,spotify.com,Audio Streaming
66,dcinside.com,Forums;News & Media
67,digicert.com,Information Security
68,akamaized.net,Content Servers
69,lijit.com,Business
70,coupang.com,Ecommerce
71,discord.com,Instant Messengers;Internet Phone & VOIP
72,app-analytics-services.com,Content Servers
73,netflix.com,Movies;Video Streaming
74,notion.so,Business;Technology
75,navercorp.com,News & Media
76,unity3d.com,Gaming;Technology
77,azure.com,Technology
78,windows.com,Information Technology
79,jsdelivr.net,Content Servers
80,qq.com,News & Media
81,nheos.com,Content Servers
82,smartadserver.com,Advertisements
83,fmkorea.com,Forums
84,clarity.ms,Content Servers
85,microsoftonline.com,Technology
86,twimg.com,Content Servers
87,naver.net,News & Media
88,cdn77.org,Content Servers
89,gvt1.com,Content Servers
90,afreecatv.com,Video Streaming
91,casalemedia.com,Advertisements
92,appsflyersdk.com,Content Servers;APIs
93,bidswitch.net,Technology
94,discord.gg,Information Technology;Instant Messengers
95,toss.im,Economy & Finance
96,appier.net,Business
97,tynt.com,Business
98,dns.google,Information Technology
99,office.net,Content Servers
100,nr-data.net,Content Servers
