Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
公式,公式,コウシキ,公式,名詞,普通名詞,形状詞可能,*,*,*,False,*,*,1
ダン,ダン,ダン,ダン,名詞,固有名詞,人名,一般,*,*,False,*,*,1
まち,まち,マチ,まち,名詞,普通名詞,一般,*,*,*,False,*,*,1
バトル,バトル,バトル,バトル,名詞,普通名詞,一般,*,*,*,False,*,*,1
クロニクル,クロニクル,クロニクル,クロニクル,名詞,普通名詞,一般,*,*,*,False,*,*,1
ダンクロ,ダンクロ,ダンクロ,ダンクロ,名詞,普通名詞,一般,*,*,*,False,*,*,1
日本語,日本語,ニホンゴ,日本語,名詞,普通名詞,一般,*,*,*,False,*,日本-語,1
English,イングリッシュ,イングリッシュ,English,名詞,普通名詞,一般,*,*,*,False,*,*,1
繁,繁,シゲ,繁,名詞,固有名詞,人名,一般,*,*,False,*,*,1
體,体,テイ,體,名詞,普通名詞,一般,*,*,*,False,*,*,1
中文,中文,チュウブン,中文,名詞,普通名詞,一般,*,*,*,False,*,*,1
Top,TOP,トップ,TOP,名詞,普通名詞,一般,*,*,*,False,*,*,1
Movie,ムービー,ムービー,Movie,名詞,普通名詞,一般,*,*,*,False,*,*,1
Introduction,イントロダクション,イントロダクション,introduction,名詞,普通名詞,一般,*,*,*,False,*,*,1
Character,キャラクター,キャラクター,Character,名詞,普通名詞,一般,*,*,*,False,*,*,1
System,システム,システム,System,名詞,普通名詞,一般,*,*,*,False,*,*,1
Special,スペシャル,スペシャル,SPECIAL,名詞,普通名詞,一般,*,*,*,False,*,*,1
FAQ,FAQ,エフエーキュー,FAQ,名詞,普通名詞,一般,*,*,*,False,*,*,1
For,フォー,フォー,for,名詞,普通名詞,一般,*,*,*,False,*,*,1
Windows,Windows,ウィンドウズ,Windows,名詞,固有名詞,一般,*,*,*,False,*,*,1
x,x,x,x,名詞,普通名詞,一般,*,*,*,True,*,*,1
Discord,discord,ディスコード,discord,名詞,固有名詞,一般,*,*,*,False,*,*,1
Youtube,YouTube,ユーチューブ,YouTube,名詞,固有名詞,一般,*,*,*,False,*,*,1
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
制定,制定,セイテイ,制定,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
日,日,ニチ,日,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
2011,2011,ニレイイチイチ,2011,名詞,数詞,*,*,*,*,True,*,*,1
年,年,ネン,年,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
8,8,ハチ,8,名詞,数詞,*,*,*,*,False,*,*,1
月,月,ガツ,月,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
19,19,イチココノ,19,名詞,数詞,*,*,*,*,True,*,*,1
日,日,カ,日,接尾辞,名詞的,助数詞,*,*,*,False,*,*,1
