domain,privacy_link,hash,init_language,valid_language,text_content,policy_downloaded
mib19.co.kr,https://mib19.co.kr/bbs/content.php?co_id=privacy,a32875bb89f84ee315cf7d0106a4840f46650347607d68cfeadc3cae686d3e16,Korean,ko,,TRUE
mib19.co.kr,https://mib19.co.kr/bbs/content.php?co_id=youthpolicy,aa2e31f7380b36a2e16fbb436b00fbe1cf97a8fd7f48c7e30a3235305cb2c3a3,Korean,ko,,TRUE
policy.indischool.com,https://policy.indischool.com/community-guidelines,eb8d6cd1d7b8ad74888ff296f85f765a5d1b69f9e4247431fad6987d99984f4a,Korean,ko,,TRUE
policy.indischool.com,https://policy.indischool.com/articles-of-incorporation,4f95f765575537edf6e40533744ea7e33f942e2712c9a8eb7740d1799fd742e4,Korean,ko,,TRUE
policy.indischool.com,https://policy.indischool.com/privacy,bf58e6d95eef65b59867a88ab9ef689fd872d520ddea470d9303135d3ffb1d75,Korean,ko,,TRUE
policy.indischool.com,https://policy.indischool.com/terms,a5557b60e26099c13e70bcc6c3502e29daf881d3a373cde2694edef0dd4b3962,Korean,ko,,TRUE
security.dragonest.com,https://security.dragonest.com/,c10b34b20f58736c37b02eab61d8ae02e0c98b3f0fea72e18350fb20b33d0901,Korean,vi,,TRUE
sdk.kurogames.com,https://sdk.kurogames.com/p/agreement_public.html,cc691c461b210932f9aa12d9ccb64e8bbd88e5a5bc5bd40f88b795c290cabe65,Korean,zh-cn,,TRUE
sdk.kurogames.com,https://sdk.kurogames.com/p/child_privacy.html,1b406012ae8cdd40c849f7c8969851f2e077a1a952348956f6dc8c8b3d49cad1,Korean,zh-cn,,TRUE
sdk.kurogames.com,https://sdk.kurogames.com/p/personal_privacy.html,91f9f8886cd51fcdabd2963a4da0a7833c08b6d8c5c6dd671bf204f70e699729,Korean,zh-cn,,TRUE
www.zocbo.com,https://www.zocbo.com/Member/zagreement.asp,ec207f956b124d4e36590b0415d884999c9f7b7b0e5e555d9c9afce5bd5ee1d1,Korean,ko,,TRUE
peoplenjob.com,https://peoplenjob.com/privacy,39273cefc93382072c05f2f204877bbbd5747406c0df0d29ec022fc955227723,Korean,ko,,TRUE
www.realclick.co.kr,https://www.realclick.co.kr/kr/support_policy.html,fcafbbd5dba92489ba7d461e82a80394ea21ce32c298ee3831604ec09fdc4bf4,Korean,ko,,TRUE
www.realclick.co.kr,https://www.realclick.co.kr/kr/support_policy.html#service_policy,6c3da813eb6f4a471e67c130f001e0361913568fe07fbaefc91ce406b430c038,Korean,ko,,TRUE
sissykorea2.com,https://sissykorea2.com/privacy,7e570d5030fddb8127271d3bdff840e89adbe8b9bb9e7aadac1e215b1dadca98,Korean,ko,,TRUE
www.peoplenjob.com,https://www.peoplenjob.com/privacy,16f0a959852eec3ad7af49c7af79ba01fab3f892b85c2b5cf7481a4b9614e707,Korean,ko,,TRUE
dak.gg,https://dak.gg/valorant/about/agreement,fbeea98e0d3eac9b34f9763f79a29eb795b87cec8363f87f8780f6140d96f12f,Korean,ko,,TRUE
