surface,normalized,dictionary,pos
포인트,포인트,포인트,Noun
1,1,1,Number
👨‍🦱,👨‍🦱,👨‍🦱,Foreign
Newbie,Newbie,Newbie,Alpha
"171,670","171,670","171,670",Number
2,2,2,Number
👩‍🦰,👩‍🦰,👩‍🦰,Foreign
김수아,김수아,김수아,Noun
"166,524","166,524","166,524",Number
3,3,3,Number
CD,CD,CD,Alpha
설,설,설,Noun
희,희,희다,Adjective
"150,126","150,126","150,126",Number
4,4,4,Number
👨‍🦱,👨‍🦱,👨‍🦱,Foreign
번개,번개,번개,Noun
"58,551","58,551","58,551",Number
5,5,5,Number
🙃,🙃,🙃,Foreign
친애하는,친애하는,친애하다,Adjective
슬픔,슬픔,슬픔,Noun
"50,015","50,015","50,015",Number
6,6,6,Number
👨‍🦱,👨‍🦱,👨‍🦱,Foreign
RunyRunyRun,RunyRunyRun,RunyRunyRun,Alpha
"41,137","41,137","41,137",Number
7,7,7,Number
👨‍🦱,👨‍🦱,👨‍🦱,Foreign
gru,gru,gru,Alpha
"35,828","35,828","35,828",Number
8,8,8,Number
👨‍🦱,👨‍🦱,👨‍🦱,Foreign
금요일,금요일,금요일,Noun
"33,050","33,050","33,050",Number
9,9,9,Number
혜리,혜리,혜리,Noun
미,미,밉다,Adjective
"32,646","32,646","32,646",Number
10,10,10,Number
👩‍🦰,👩‍🦰,👩‍🦰,Foreign
채,채,채,Noun
혜빈,혜빈,혜빈,Noun
"31,645","31,645","31,645",Number
